Gene_symbol,CRO-AP2,DB,GRANTA-519,JM1,JSC-1,KARPAS-1106P,KARPAS-422,NU-DUL-1,OCI-LY7,RC-K8,SCC-3,SLVL,SU-DHL-4,SU-DHL-8,TK,TUR,WSU-DLCL2
Null,Sensitive,Resistive,Resistive,Sensitive,Resistive,Sensitive,Resistive,Sensitive,Sensitive,Resistive,Sensitive,Sensitive,Sensitive,Resistive,Resistive,Resistive,Sensitive
ABRACL,31.38,119.35,186.66,99.83,58.11,142.85,401.91,80.39,110.95,241.66,78.98,66.76,119.05,210.08,110.61,160.07,45.5
ABRAXAS1,7.37,34.38,4.11,7.03,8.73,8.15,7.07,8.2,11.7,4.87,9.41,4.94,10.75,4.1,6.22,31.17,41.22
ABRAXAS2,34.98,42.6,37.24,53.2,32.25,47.47,47.77,39.38,34.65,31.58,32.66,42.39,23.64,28.99,29.73,40.35,37.1
ABT1,43.87,42.18,36.35,86.11,52.59,48.3,77.64,28.08,54.76,37.77,60.36,28.54,40.56,50.62,73.42,32.03,23.67
ABT1P1,0.0,0.0,0.0,0.15,0.0,0.04,0.2,0.0,0.0,0.0,0.0,0.03,0.07,0.0,0.04,0.0,0.0
ABTB1,5.98,1.94,12.0,10.45,9.4,12.58,53.8,9.0,6.36,11.22,4.19,5.96,9.18,30.94,6.71,11.29,8.82
ABTB2,52.32,0.76,8.84,0.95,24.25,61.02,3.16,0.91,0.06,72.9,0.67,59.53,0.59,0.4,0.04,1.21,0.59
ACAA1,29.4,13.84,6.12,10.22,16.96,19.63,45.65,21.03,10.87,30.06,12.93,11.09,20.85,11.12,18.22,27.46,23.67
ACAA2,19.95,133.81,48.59,53.32,38.27,53.84,56.39,89.5,25.83,41.58,33.16,33.41,74.46,66.85,40.23,34.11,57.55
ACACA,28.31,71.12,26.35,27.47,36.57,24.49,60.35,46.81,16.65,19.53,26.09,23.91,25.08,32.62,82.83,20.57,29.3
ACACB,0.1,5.13,3.33,3.27,1.07,11.4,4.67,1.88,11.57,1.19,1.94,0.12,2.62,2.05,5.32,16.28,9.84
ACAD8,24.05,16.16,13.4,15.09,13.75,14.37,6.75,6.17,9.53,16.75,8.61,27.7,9.44,29.39,23.77,10.98,15.74
ACAD9,52.36,27.0,25.1,30.48,37.37,37.18,34.55,35.16,29.57,32.71,24.99,37.64,24.79,55.36,49.91,33.39,16.53
ACAD10,18.86,17.53,18.06,6.16,13.58,9.58,25.28,9.8,8.44,8.44,20.43,8.88,15.11,12.97,10.35,12.68,16.39
ACAD11,1.72,1.06,1.19,0.49,1.07,2.0,2.28,0.52,1.85,2.09,2.88,5.0,0.36,0.71,1.72,3.77,3.36
ACADL,0.0,0.0,0.1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0
ACADM,125.19,214.44,75.12,125.94,118.03,207.27,117.74,98.15,232.01,109.28,28.74,77.04,220.33,65.8,126.62,65.84,158.88
ACADS,70.85,14.03,10.41,9.84,25.66,11.62,9.63,0.56,17.65,1.19,14.87,15.25,6.36,0.64,0.3,46.72,31.34
ACADSB,26.19,97.22,16.9,26.45,27.27,14.73,17.73,16.5,9.3,13.51,3.79,30.46,17.67,5.51,19.09,22.37,17.42
ACADVL,126.61,64.28,58.49,45.56,131.11,68.21,167.27,104.84,71.6,85.21,29.88,116.38,117.7,73.9,25.68,128.87,141.89
ACAN,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03
ACAP1,41.89,13.58,27.85,9.77,67.41,68.35,34.71,43.35,62.62,17.74,83.54,38.16,80.85,21.53,9.0,114.49,95.31
